,cat_name,num_images,num_videos,age,breed,color,size,sex,characteristics,house_trained,health,good_in_a_home_with,adoption_fee,prefers_a_home_without,coat_length,pet_story_num_words,rescue_group,data_set
265,Yuki,5,0,Adult,Domestic Short Hair Mix,Tabby (Gray / Blue / Silver),Medium,Male,,Yes,"Vaccinations up to date, spayed / neutered.",,,,Short,140.0,Anjellicle Cats Rescue,thirty_days
266,Baloo,6,0,Young,Domestic Short Hair Mix,Black,Medium,Male,,Yes,"Vaccinations up to date, spayed / neutered.",,,,Short,182.0,Anjellicle Cats Rescue,thirty_days
267,Gracelynn,2,0,Young,Domestic Short Hair Mix,Gray / Blue / Silver,Small,Female,,Yes,"Vaccinations up to date, spayed / neutered.",,,,Short,119.0,Anjellicle Cats Rescue,thirty_days
268,Peter,3,0,Senior,Domestic Short Hair Mix,Black & White / Tuxedo,Large,Male,,Yes,"Vaccinations up to date, spayed / neutered.",Other cats.,,Children.,Short,150.0,Anjellicle Cats Rescue,thirty_days
269,Midnight,0,0,Adult,Domestic Short Hair,Black,Medium,Male,,Yes,"Vaccinations up to date, spayed / neutered.",,,,,103.0,Anjellicle Cats Rescue,thirty_days
270,Savanna,3,0,Young,Domestic Short Hair,Cream / Ivory,Medium,Female,,Yes,"Vaccinations up to date, spayed / neutered.",,,,,114.0,Anjellicle Cats Rescue,thirty_days
271,Mia,2,0,Adult,Domestic Short Hair,,Small,Female,,Yes,"Vaccinations up to date, spayed / neutered.",,,,,98.0,Anjellicle Cats Rescue,thirty_days
272,DARCY,4,0,Kitten,Domestic Short Hair,Gray & White,Small,Female,"Friendly, Affectionate, Loyal, Gentle, Playful, Brave, Loves kisses",Yes,"Vaccinations up to date, spayed / neutered.","Other cats, children.",$200.00,Dogs.,Short,166.0,Paul the Cat Guy Inc,thirty_days
273,POTATO,2,0,Kitten,Tabby & Domestic Short Hair Mix,Brown / Chocolate,Small,Male,"Friendly, Affectionate, Loyal, Loves kisses",Yes,"Vaccinations up to date, spayed / neutered.",Other cats.,$200.00,Dogs.,,170.0,Paul the Cat Guy Inc,thirty_days
274,GUMDROP,0,0,Kitten,Tuxedo & Domestic Short Hair Mix,Black,Small,Male,", Friendly, Affectionate, Loyal, Playful, Smart, Funny, Loves kisses",Yes,"Vaccinations up to date, spayed / neutered.",Other cats.,$200.00,Dogs.,Short,141.0,Paul the Cat Guy Inc,thirty_days
275,DIEGO,2,1,Adult,Domestic Short Hair,Black & White / Tuxedo,Medium,Male,", Friendly, Playful, Smart, Curious, Funny",Yes,"Vaccinations up to date, spayed / neutered.",,$200.00,"Other cats, dogs, children.",Short,352.0,Paul the Cat Guy Inc,thirty_days
276,"GRAVY - ""Fuzzy Doorstop""",2,0,Adult,Tabby,Tabby (Brown / Chocolate),Large,Male,,Yes,"Vaccinations up to date, spayed / neutered.",Other cats.,$200.00,,,338.0,Paul the Cat Guy Inc,thirty_days
277,Luna,5,1,Adult,Domestic Short Hair,Black,Small,Female,", Friendly, Playful, Gentle, Curious, Funny, Brave",Yes,"Vaccinations up to date, spayed / neutered, special needs.","Other cats, dogs.",,,Short,160.0,Infinite Hope,thirty_days
278,Kobi and Cali,5,1,Kitten,Domestic Short Hair,,Medium,Female,,Yes,"Vaccinations up to date, spayed / neutered.",,,,Short,171.0,The Lucky Cat Rescue,thirty_days
279,Mini,0,0,Young,Domestic Short Hair,Tabby (Brown / Chocolate),Medium,Female,,Yes,Spayed / neutered.,Other cats.,,,Short,57.0,The Lucky Cat Rescue,thirty_days
280,Tortellini (Torty),0,0,Kitten,Domestic Short Hair,Orange & White,Medium,Male,,Yes,"Vaccinations up to date, spayed / neutered.",Other cats.,,,,288.0,The Lucky Cat Rescue,thirty_days
281,Rigatoni (Toni),0,0,Kitten,Domestic Short Hair,Orange & White,Medium,Male,"Friendly, Affectionate, Playful",Yes,"Vaccinations up to date, spayed / neutered.",Other cats.,,,Short,311.0,The Lucky Cat Rescue,thirty_days
282,Checkers,3,0,Adult,Domestic Short Hair,Black & White / Tuxedo,Medium,Male,,Yes,"Vaccinations up to date, spayed / neutered.",,,,Short,242.0,The Lucky Cat Rescue,thirty_days
283,Roscoe,6,0,Adult,Domestic Short Hair,,Medium,Male,"loving, affectionate, playful, sweet",Yes,"Vaccinations up to date, spayed / neutered.",,,,Short,229.0,The Lucky Cat Rescue,thirty_days
284,GG,0,0,Adult,Domestic Short Hair,Tortoiseshell,Medium,Female,,Yes,"Vaccinations up to date, spayed / neutered.","Other cats, dogs, children.",,,Short,66.0,The Lucky Cat Rescue,thirty_days
285,Seymour,6,0,Young,Domestic Short Hair,Black & White / Tuxedo,Medium,Male,,Yes,Spayed / neutered.,,,,Short,173.0,Next Chance Rescue,thirty_days
286,Cadbury,4,0,Kitten,Domestic Short Hair & Tabby Mix,Tabby (Brown / Chocolate),Small,Male,,Yes,Spayed / neutered.,"Other cats, dogs.",,,Short,87.0,Next Chance Rescue,thirty_days
287,KitKat,4,0,Kitten,Domestic Short Hair & Tabby Mix,Tabby (Brown / Chocolate),Small,Female,,Yes,Spayed / neutered.,"Other cats, dogs.",,,Short,106.0,Next Chance Rescue,thirty_days
288,Reese,4,0,Kitten,Domestic Short Hair & Tabby Mix,Tabby (Tiger Striped),Small,Female,,Yes,Spayed / neutered.,,,,Short,131.0,Next Chance Rescue,thirty_days
289,Carlita,3,0,Kitten,Domestic Short Hair,Calico,Medium,Female,,Yes,Spayed / neutered.,Other cats.,,,,79.0,Next Chance Rescue,thirty_days
290,Snickers,4,0,Kitten,Domestic Short Hair & Tuxedo Mix,Black & White / Tuxedo,Small,Female,,Yes,Spayed / neutered.,"Other cats, dogs.",,,Short,89.0,Next Chance Rescue,thirty_days
291,TimTam,5,0,Kitten,Domestic Short Hair,Tabby (Brown / Chocolate),Small,Female,,Yes,Spayed / neutered.,"Other cats, dogs.",,,Short,95.0,Next Chance Rescue,thirty_days
292,Wendel,6,0,Adult,Domestic Short Hair,Gray & White,Medium,Male,,Yes,Spayed / neutered.,,,,Short,189.0,Next Chance Rescue,thirty_days
293,JoJo,6,0,Senior,Domestic Short Hair,Tabby (Brown / Chocolate),Small,Female,,Yes,Spayed / neutered.,Children.,,"Other cats, dogs.",Short,170.0,Next Chance Rescue,thirty_days
