Mizuna,0,0,Adult,Domestic Short Hair Mix,Torbie,Medium,Female,"Friendly, Affectionate",,Yes,"Vaccinations up to date, spayed / neutered.",,,,Short,83,Liberty Humane Society,14,No
Coral,3,1,Young,Domestic Short Hair Mix,White,Medium,Male,"Friendly, Affectionate, Playful, Curious, Loves kisses",,Yes,"Vaccinations up to date, spayed / neutered.",,,,Short,90,Liberty Humane Society,14,No
Jitterbug Jasmine,0,0,Kitten,Domestic Short Hair Mix,Black,Small,Male,"Affectionate, Friendly",,Yes,"Vaccinations up to date, spayed / neutered.",,,,Short,83,Liberty Humane Society,14,No
Cress,1,1,Kitten,Domestic Short Hair Mix,Black,Small,Male,,,Yes,"Vaccinations up to date, spayed / neutered.",,,,Short,97,Liberty Humane Society,14,No
Moon,2,1,Adult,Domestic Short Hair Mix,Black & White / Tuxedo,Medium,Male,"Affectionate, Loyal, Gentle, Curious, Quiet, Couch potato, Loves kisses, Dignified",,Yes,"Vaccinations up to date, spayed / neutered.",,,,Short,124,Liberty Humane Society,14,No
Nala,4,1,Adult,Domestic Short Hair,Tabby (Brown / Chocolate),Medium,Female,,,Yes,"Vaccinations up to date, spayed / neutered.",,,,Short,48,Liberty Humane Society,14,No
Mars C,2,1,Young,Domestic Short Hair,Black & White / Tuxedo,Medium,Female,"Friendly, Affectionate, Independent, Quiet, Dignified, Couch potato",,Yes,"Vaccinations up to date, spayed / neutered.",,,,Short,117,Liberty Humane Society,14,No
Oreo C,1,1,Adult,Domestic Short Hair,Black & White / Tuxedo,Medium,Female,"Friendly, Affectionate, Curious, Dignified",,Yes,"Vaccinations up to date, spayed / neutered.",,,,Medium,111,Liberty Humane Society,14,No
Octavia,3,1,Kitten,American Shorthair Mix,Calico,Medium,Female,"Friendly, Playful, Gentle, Curious",,Yes,Vaccinations up to date.,,,,Short,162,Whiskers-aGoGo Inc,14,No
Sheikh,4,0,Young,Bengal Mix,Tabby (Leopard / Spotted),Large,Male,"Friendly, Affectionate, Playful, Athletic",,Yes,"Vaccinations up to date, spayed / neutered.",Other cats.,,,Short,198,Whiskers-aGoGo Inc,14,No
Birdie,2,1,Kitten,Bombay Mix,Black,Medium,Female,"Friendly, Affectionate, Gentle, Playful, Curious, Funny, Loves kisses",,Yes,"Vaccinations up to date, spayed / neutered.","Other cats, children.",,,Short,165,Whiskers-aGoGo Inc,14,No
Farrah,3,0,Kitten,American Shorthair,White,Medium,Female,"Friendly, Affectionate, Playful, Smart, Curious, Funny",,Yes,"Vaccinations up to date, spayed / neutered.","Other cats, children.",,,Short,107,Whiskers-aGoGo Inc,14,No
Ferris,4,0,Kitten,American Shorthair Mix,White,Medium,Male,"Friendly, Affectionate, Gentle, Playful, Curious, Funny",,Yes,"Vaccinations up to date, spayed / neutered.","Other cats, children.",,,Short,107,Whiskers-aGoGo Inc,14,No
Glamrock Chica,4,0,Adult,American Shorthair Mix,Gray & White,Medium,Female,"Friendly, Smart, Loyal, Quiet",,Yes,"Vaccinations up to date, spayed / neutered.","Other cats, children.",,,Short,243,Whiskers-aGoGo Inc,14,No
Roz,2,0,Adult,American Shorthair Mix,Black & White / Tuxedo,Medium,Female,"Friendly, Playful, Funny",,Yes,"Vaccinations up to date, spayed / neutered.","Other cats, dogs, children.",,,Short,69,Whiskers-aGoGo Inc,14,No
"Favorite Babies-Wonton, Lichee, Sprout & Dumpling",3,0,Kitten,Domestic Short Hair,White,Small,Male,,,Yes,,Other cats.,,,313,Brooklyn Animal Action,14,No
Find the Lost Boys! Adorable Kittens!,3,0,Kitten,Domestic Short Hair,Gray / Blue / Silver,Medium,Male,,,Yes,Vaccinations up to date.,"Other cats, dogs, children.",,,313,Brooklyn Animal Action,14,No
Once Upon a Time Kittens! Wolfe and Haru,3,0,Kitten,Domestic Short Hair,Gray & White,Medium,Male,,,Yes,Vaccinations up to date.,"Other cats, dogs, children.",,,234,Brooklyn Animal Action,14,No
Jack & Ace: A Royal Duo!,3,0,Kitten,Domestic Short Hair Mix,Orange & White,Medium,Male,,,Yes,,"Other cats, dogs, children.",,,155,Brooklyn Animal Action,14,No
Royal and Oakley: Stunning sibling kittens,3,0,Kitten,Russian Blue & Domestic Short Hair Mix,Gray / Blue / Silver,Medium,Female,,,Yes,Vaccinations up to date.,"Other cats, dogs, children.",,,183,Brooklyn Animal Action,14,No
Basil and Sage: Spice Kittens!,3,0,Kitten,Domestic Short Hair,,Medium,Female,,,Yes,Vaccinations up to date.,"Other cats, dogs, children.",,,193,Brooklyn Animal Action,14,No
Thyme and Chive: Spice Kittens!,3,0,Kitten,Domestic Short Hair,,Medium,Male,,,Yes,Vaccinations up to date.,"Other cats, children.",,,187,Brooklyn Animal Action,14,No
Rosemary and Parsley: Spice Kittens!,3,0,Kitten,Domestic Short Hair,,Medium,Female,,,Yes,Vaccinations up to date.,"Other cats, children.",,,183,Brooklyn Animal Action,14,No
Clarissa Dilute Calico Sweet Beauty!,3,0,Young,Calico,,Medium,Female,,,Yes,"Vaccinations up to date, spayed / neutered.","Other cats, children.",,,197,Brooklyn Animal Action,14,No
Golden-Eyed Zahara Loving Young Calico,3,0,Young,Calico,,Medium,Female,,,Yes,"Vaccinations up to date, spayed / neutered.","Other cats, children.",,,170,Brooklyn Animal Action,14,No
O-Mazing Olaf! Super Sweet Young Orange!,3,0,Young,Domestic Short Hair,Orange & White,Medium,Male,,,Yes,"Vaccinations up to date, spayed / neutered.","Other cats, children.",,,194,Brooklyn Animal Action,14,No
Jumping Pixel!,3,0,Young,Domestic Short Hair & Tabby Mix,,Medium,Male,,,Yes,Spayed / neutered.,Other cats.,,,234,Brooklyn Animal Action,14,No
Ben & Jerry: Kittens As sweet as Ice Cream,3,0,Kitten,Domestic Short Hair,Black & White / Tuxedo,Medium,Male,,,Yes,"Vaccinations up to date, spayed / neutered.","Other cats, dogs, children.",,,265,Brooklyn Animal Action,14,No
Maeby & Tobias,3,0,Kitten,Domestic Short Hair,,Medium,Male,,,Yes,Vaccinations up to date.,"Other cats, dogs, children.",,,215,Brooklyn Animal Action,14,No
Simba,6,0,Adult,Domestic Long Hair,Tabby (Brown / Chocolate),Large,Male,"Friendly, Affectionate, Loyal, Gentle, Smart, Funny, Couch potato, Loves kisses",,Yes,"Vaccinations up to date, spayed / neutered.",Other cats.,,,Long,291,JerseyCats,14,No
Ziggy,5,0,Adult,Domestic Short Hair,Tabby (Brown / Chocolate),Medium,Male,"Friendly, Affectionate, Playful, Athletic",,Yes,"Vaccinations up to date, spayed / neutered.",,$150.00,,Short,200,Hudson County Animal League (HCAL),14,No
Floricito,5,0,Senior,Tabby Mix,Tabby (Orange / Red),Medium,Male,"Friendly, Affectionate, Smart, Curious, Funny",,Yes,"Vaccinations up to date, spayed / neutered, special needs.",,,,Short,120,Joyrides Rescue,14,No
Vladimir,5,0,Senior,Domestic Long Hair Mix,Orange & White,Medium,Male,"Friendly, Affectionate, Gentle, Dignified",,Yes,"Vaccinations up to date, spayed / neutered.",,,,Medium,133,Joyrides Rescue,14,No
Cecelia Jane (CJ),2,1,Kitten,Domestic Short Hair,Tabby (Buff / Tan / Fawn),Medium,Female,"Friendly, Affectionate, Loyal, Gentle, Playful, Smart, Protective, Brave, Curious, Funny, Quiet, Dignified, Couch potato, Loves kisses",,Yes,"Vaccinations up to date, spayed / neutered.",Other cats.,,,,Eccentric Kittens,14,No
