,Unnamed: 0,cat_name,num_images,num_videos,age,breed,color,size,sex,characteristics,house_trained,health,good_in_a_home_with,adoption_fee,prefers_a_home_without,coat_length,pet_story_num_words,rescue_group,data_set,num_cats,cat_id,thirty_days,other_days,spec_needs,without_story,coat_length_miss,color_miss,more_than_1_cat,video,num_pictures,pictures,breed_type,Days_On_Site,is_dupe,color_bool,pet_narrative,good_in_a_home_with_bool,prefers_a_home_without_bool,characteristics_bool
31,31,Molly,0,0,Adult,Siamese,Brown / Chocolate,Medium,Female,"Friendly, Affectionate, Loyal, Gentle, Smart, Curious, Independent, Quiet, Loves kisses",Yes,"Vaccinations up to date, spayed / neutered.","Other cats, dogs.",,unknown,Short,159.0,S.A.R.A. Inc.,one_day,1,Molly S.A.R.A. Inc.,False,True,False,False,Short,Brown / Chocolate,False,False,0,False,Other,Less Than Thirty Days,False,True,True,True,False,True
32,32,Booker,3,0,Young,Domestic Short Hair & Tabby Mix,Orange / Red,Large,Male,"Friendly, Affectionate, Loyal, Gentle, Curious, Smart, Funny, Athletic, Loves kisses",Yes,"Vaccinations up to date, spayed / neutered.","Other cats, children.",,unknown,Short,137.0,S.A.R.A. Inc.,one_day,1,Booker S.A.R.A. Inc.,False,True,False,False,Short,Orange / Red,False,False,3,True,DSH,Less Than Thirty Days,False,True,True,True,False,True
33,33,Ghost,0,0,Senior,Domestic Short Hair,White,Medium,Male,unknown,Yes,"Vaccinations up to date, spayed / neutered.",unknown,,unknown,,37.0,Humane Society of Westchester at New Rochelle,one_day,1,Ghost Humane Society of Westchester at New Rochelle,False,True,False,False,unknown,White,False,False,0,False,DSH,Less Than Thirty Days,True,True,True,False,False,False
34,34,Nubuck,5,0,Kitten,Domestic Short Hair,Black,Medium,Male,"Friendly, Affectionate, Gentle, Playful, Smart, Brave, Curious, Independent, Funny, Athletic, Loves kisses",Yes,Vaccinations up to date.,"Other cats, dogs, children.",,unknown,Short,64.0,Montville Animal Shelter,one_day,1,Nubuck Montville Animal Shelter,False,True,False,False,Short,Black,False,False,5,True,DSH,Less Than Thirty Days,False,True,True,True,False,True
35,35,Leather,6,0,Kitten,Domestic Long Hair,Black,Medium,Male,"Friendly, Affectionate, Gentle, Playful, Smart, Brave, Curious, Independent, Funny, Athletic, Loves kisses",Yes,Vaccinations up to date.,"Other cats, dogs, children.",,unknown,Long,64.0,Montville Animal Shelter,one_day,1,Leather Montville Animal Shelter,False,True,False,False,Long,Black,False,False,6,True,DLH,Less Than Thirty Days,False,True,True,True,False,True
36,36,Suede,4,0,Kitten,Domestic Long Hair,Black,Medium,Female,"Friendly, Affectionate, Gentle, Playful, Smart, Brave, Curious, Independent, Funny, Athletic, Loves kisses",Yes,Vaccinations up to date.,"Other cats, dogs, children.",,unknown,Long,64.0,Montville Animal Shelter,one_day,1,Suede Montville Animal Shelter,False,True,False,False,Long,Black,False,False,4,True,DLH,Less Than Thirty Days,False,True,True,True,False,True
37,37,Patent,4,0,Kitten,Domestic Short Hair,Tabby (Buff / Tan / Fawn),Medium,Female,"Friendly, Affectionate, Gentle, Playful, Smart, Brave, Curious, Independent, Funny, Athletic, Loves kisses",Yes,Vaccinations up to date.,"Other cats, dogs, children.",,unknown,Short,64.0,Montville Animal Shelter,one_day,1,Patent Montville Animal Shelter,False,True,False,False,Short,Tabby (Buff / Tan / Fawn),False,False,4,True,DSH,Less Than Thirty Days,False,True,True,True,False,True
38,0,Sylvie,4,0,Adult,Domestic Short Hair,Tabby (Brown / Chocolate),Medium,Female,unknown,Yes,"Vaccinations up to date, spayed / neutered.",unknown,,Children.,Short,263.0,City Critters Inc.,seven_days,1,Sylvie City Critters Inc.,False,True,False,False,Short,Tabby (Brown / Chocolate),False,False,4,True,DSH,Less Than Thirty Days,True,True,True,False,True,False
39,1,Carrot,6,0,Kitten,Domestic Short Hair,Orange / Red,Small,Male,unknown,Yes,"Vaccinations up to date, spayed / neutered.","Other cats, children.",,unknown,Short,109.0,City Critters Inc.,seven_days,1,Carrot City Critters Inc.,False,True,False,False,Short,Orange / Red,False,False,6,True,DSH,Less Than Thirty Days,True,True,True,True,False,False
40,2,Mickey,4,0,Adult,Bombay & Domestic Short Hair Mix,Black,Medium,Male,"Friendly, Affectionate, Gentle, Playful, Curious, Quiet, Dignified",Yes,Spayed / neutered.,"Other cats, dogs, children.",,unknown,Short,126.0,Ready For Rescue,seven_days,1,Mickey Ready For Rescue,False,True,False,False,Short,Black,False,False,4,True,DSH,Less Than Thirty Days,True,True,True,True,False,True
41,3,Lah Lah,5,1,Senior,Domestic Short Hair,Black,Medium,Male,"Friendly, Playful, Curious, Brave, Smart, Funny, Affectionate",Yes,"Vaccinations up to date, spayed / neutered.",Other cats.,,unknown,Short,171.0,Ready For Rescue,seven_days,1,Lah Lah Ready For Rescue,False,True,False,False,Short,Black,False,True,5,True,DSH,Less Than Thirty Days,True,True,True,True,False,True
42,4,Jackie,6,0,Young,Domestic Short Hair,unknown,Medium,Female,"Affectionate, Friendly, Gentle, Smart, Playful, Quiet",Yes,"Vaccinations up to date, spayed / neutered.","Other cats, dogs, children.",$300.00,unknown,Medium,165.0,"Good World Animal Rescue and Protection,…",seven_days,1,"Jackie Good World Animal Rescue and Protection,…",False,True,False,False,Medium,unknown,False,False,6,True,DSH,Less Than Thirty Days,True,False,True,True,False,True
43,5,Dusty and Oliver,6,0,Kitten,Domestic Short Hair,unknown,Small,Female,unknown,Yes,,unknown,$300.00,unknown,,295.0,Waggytail Rescue,seven_days,1,Dusty and Oliver Waggytail Rescue,False,True,False,False,unknown,unknown,True,False,6,True,DSH,Less Than Thirty Days,True,False,True,False,False,False
44,6,Mister,2,0,Adult,Domestic Short Hair,Black & White / Tuxedo,Large,Male,unknown,Yes,"Vaccinations up to date, spayed / neutered.","Other cats, children.",,unknown,,449.0,Brooklyn Bridge Animal Welfare Coalition,seven_days,1,Mister Brooklyn Bridge Animal Welfare Coalition,False,True,False,False,unknown,Black & White / Tuxedo,False,False,2,True,DSH,Less Than Thirty Days,True,True,True,True,False,False
45,7,Gold Fleck,3,0,Young,Domestic Short Hair,unknown,Medium,Female,unknown,Yes,Spayed / neutered.,Other cats.,,unknown,,150.0,Brooklyn Bridge Animal Welfare Coalition,seven_days,1,Gold Fleck Brooklyn Bridge Animal Welfare Coalition,False,True,False,False,unknown,unknown,False,False,3,True,DSH,Less Than Thirty Days,True,False,True,True,False,False
46,8,Magic,3,0,Young,Domestic Short Hair,unknown,Medium,Male,unknown,Yes,Spayed / neutered.,"Other cats, dogs, children.",,unknown,,73.0,Brooklyn Bridge Animal Welfare Coalition,seven_days,1,Magic Brooklyn Bridge Animal Welfare Coalition,False,True,False,False,unknown,unknown,False,False,3,True,DSH,Less Than Thirty Days,True,False,True,True,False,False
47,9,Dr. Dillamond,3,0,Young,Domestic Short Hair,Gray & White,Medium,Male,unknown,Yes,Spayed / neutered.,"Other cats, dogs, children.",,unknown,,68.0,Brooklyn Bridge Animal Welfare Coalition,seven_days,1,Dr. Dillamond Brooklyn Bridge Animal Welfare Coalition,False,True,False,False,unknown,Gray & White,False,False,3,True,DSH,Less Than Thirty Days,True,True,True,True,False,False
48,10,Sterling,2,0,Adult,Domestic Short Hair,unknown,Medium,Male,unknown,Yes,"Vaccinations up to date, spayed / neutered.",unknown,,unknown,,102.0,KittyKind,seven_days,1,Sterling KittyKind,False,True,False,False,unknown,unknown,False,False,2,True,DSH,Less Than Thirty Days,True,False,True,False,False,False
49,11,Queenie,5,0,Adult,Domestic Long Hair & Calico Mix,Calico,Medium,Female,"Friendly, Couch potato, Gentle, Quiet",Yes,"Vaccinations up to date, spayed / neutered.",Other cats.,$150.00,Children.,Long,132.0,Jersey Tails,seven_days,1,Queenie Jersey Tails,False,True,False,False,Long,Calico,False,False,5,True,DLH,Less Than Thirty Days,True,True,True,True,True,True
50,12,Vern and Billy Bob,4,0,Kitten,Domestic Short Hair & Domestic Long Hair Mix,Tabby (Gray / Blue / Silver),Small,Male,"Friendly, Affectionate, Playful, Curious, Funny",Yes,"Vaccinations up to date, spayed / neutered.","Other cats, children.",,unknown,Medium,161.0,Animal Lighthouse Rescue,seven_days,1,Vern and Billy Bob Animal Lighthouse Rescue,False,True,False,False,Medium,Tabby (Gray / Blue / Silver),True,False,4,True,DSH,Less Than Thirty Days,True,True,True,True,False,True
51,13,Miss Misstoffelees,6,0,Young,Domestic Short Hair,Black,Medium,Female,", Affectionate, Gentle, Playful, Friendly, Curious, Funny, Loves kisses",Yes,"Vaccinations up to date, spayed / neutered.",Other cats.,$150.00,"Dogs, children.",Short,364.0,AdvoCat Rescue,seven_days,1,Miss Misstoffelees AdvoCat Rescue,False,True,False,False,Short,Black,False,False,6,True,DSH,Less Than Thirty Days,True,True,True,True,True,True
52,14,Fries & Mash - Bonded Brothers,6,0,Kitten,Domestic Short Hair,Black & White / Tuxedo,Small,Male,"Friendly, Affectionate, Playful, Gentle, Curious, Independent, Funny, Loves kisses",Yes,"Vaccinations up to date, spayed / neutered.",Other cats.,$125.00,Children.,Short,229.0,AdvoCat Rescue,seven_days,1,Fries & Mash - Bonded Brothers AdvoCat Rescue,False,True,False,False,Short,Black & White / Tuxedo,True,False,6,True,DSH,Less Than Thirty Days,True,True,True,True,True,True
53,15,Mash & Fries - Bonded Brothers,6,0,Kitten,Domestic Short Hair,Black & White / Tuxedo,Small,Male,"Playful, Gentle, Curious, Independent, Funny, Loves kisses",Yes,"Vaccinations up to date, spayed / neutered.",Other cats.,$125.00,Children.,Short,229.0,AdvoCat Rescue,seven_days,1,Mash & Fries - Bonded Brothers AdvoCat Rescue,False,True,False,False,Short,Black & White / Tuxedo,True,False,6,True,DSH,Less Than Thirty Days,True,True,True,True,True,True
54,16,The Jimmy,6,0,Kitten,Domestic Short Hair,Gray & White,Medium,Male,unknown,Yes,"Vaccinations up to date, spayed / neutered.",Other cats.,$200.00,unknown,Short,264.0,AdvoCat Rescue,seven_days,1,The Jimmy AdvoCat Rescue,False,True,False,False,Short,Gray & White,False,False,6,True,DSH,Less Than Thirty Days,True,True,True,True,False,False
55,17,Hermione - Hogwarts Kittens,6,0,Kitten,Domestic Short Hair,Calico,Medium,Female,unknown,Yes,Vaccinations up to date.,Other cats.,$200.00,unknown,Short,244.0,AdvoCat Rescue,seven_days,1,Hermione - Hogwarts Kittens AdvoCat Rescue,False,True,False,False,Short,Calico,False,False,6,True,DSH,Less Than Thirty Days,True,True,True,True,False,False
56,18,Ron - Hogwarts Kittens,6,0,Kitten,Domestic Short Hair,Tabby (Buff / Tan / Fawn),Medium,Male,unknown,Yes,Vaccinations up to date.,Other cats.,$200.00,unknown,Short,244.0,AdvoCat Rescue,seven_days,1,Ron - Hogwarts Kittens AdvoCat Rescue,False,True,False,False,Short,Tabby (Buff / Tan / Fawn),False,False,6,True,DSH,Less Than Thirty Days,True,True,True,True,False,False
57,19,Harry - Hogwarts Kittens,6,0,Kitten,Domestic Short Hair,Buff / Tan / Fawn,Medium,Male,unknown,Yes,Vaccinations up to date.,Other cats.,$200.00,unknown,Short,244.0,AdvoCat Rescue,seven_days,1,Harry - Hogwarts Kittens AdvoCat Rescue,False,True,False,False,Short,Buff / Tan / Fawn,False,False,6,True,DSH,Less Than Thirty Days,True,True,True,True,False,False
