,cat_name,num_images,num_videos,age,color,sex,good_in_a_home_with,adoption_fee,prefers_a_home_without,coat_length,pet_story_num_words,rescue_group,data_set,cat_id,thirty_days,without_story,coat_length_miss,color_miss,more_than_1_cat,video,num_pictures,pictures,breed_type,Days_On_Site,color_new
81,Jumping Pixel!,3,0,Young,,Male,Other cats.,,,,234.0,Brooklyn Animal Action,seven_days,Jumping Pixel! Brooklyn Animal Action,False,False,unknown,unknown,False,False,3,True,DSH,Less Than Thirty Days,Other
82,Ben & Jerry: Kittens As sweet as Ice Cream,3,0,Kitten,Black & White / Tuxedo,Male,"Other cats, dogs, children.",,,,265.0,Brooklyn Animal Action,seven_days,Ben & Jerry: Kittens As sweet as Ice Cream Brooklyn Animal Action,False,False,unknown,Black & White / Tuxedo,True,False,3,True,DSH,Less Than Thirty Days,Black & White / Tuxedo
83,Simba,6,0,Adult,Tabby (Brown / Chocolate),Male,Other cats.,,,Long,291.0,JerseyCats,seven_days,Simba JerseyCats,False,False,Long,Tabby (Brown / Chocolate),False,False,6,True,DLH,Less Than Thirty Days,Tabby (Brown / Chocolate)
84,Ziggy,5,0,Adult,Tabby (Brown / Chocolate),Male,,$150.00,,Short,200.0,Hudson County Animal League (HCAL),seven_days,Ziggy Hudson County Animal League (HCAL),False,False,Short,Tabby (Brown / Chocolate),False,False,5,True,DSH,Less Than Thirty Days,Tabby (Brown / Chocolate)
85,Cecelia Jane (CJ),2,1,Kitten,Tabby (Buff / Tan / Fawn),Female,Other cats.,,,,0.0,Eccentric Kittens,seven_days,Cecelia Jane (CJ) Eccentric Kittens,False,True,unknown,Tabby (Buff / Tan / Fawn),False,True,2,True,DSH,Less Than Thirty Days,Tabby (Buff / Tan / Fawn)
86,Gordita and Chalupa,5,0,Kitten,Black,Female,Other cats.,,,,0.0,Eccentric Kittens,seven_days,Gordita and Chalupa Eccentric Kittens,False,True,unknown,Black,True,False,5,True,DSH,Less Than Thirty Days,Black
87,Willow,0,0,Young,Black,Female,Other cats.,,,,0.0,Eccentric Kittens,seven_days,Willow Eccentric Kittens,False,True,unknown,Black,False,False,0,False,DSH,Less Than Thirty Days,Black
88,Lulu,0,0,Kitten,Black,Female,Other cats.,,,Short,0.0,Eccentric Kittens,seven_days,Lulu Eccentric Kittens,False,True,Short,Black,False,False,0,False,DSH,Less Than Thirty Days,Black
89,Mr. Man,0,0,Kitten,Black & White / Tuxedo,Male,Other cats.,,,,25.0,Eccentric Kittens,seven_days,Mr. Man Eccentric Kittens,False,False,unknown,Black & White / Tuxedo,False,False,0,False,DSH,Less Than Thirty Days,Black & White / Tuxedo
90,Gizmo,0,0,Kitten,Buff / Tan / Fawn,Female,"Other cats, dogs, children.",,,Medium,0.0,Eccentric Kittens,seven_days,Gizmo Eccentric Kittens,False,True,Medium,Buff / Tan / Fawn,False,False,0,False,DLH,Less Than Thirty Days,Other
91,Maskitty,0,0,Kitten,Dilute Tortoiseshell,Female,"Other cats, dogs, children.",,,,0.0,Eccentric Kittens,seven_days,Maskitty Eccentric Kittens,False,True,unknown,Dilute Tortoiseshell,False,False,0,False,DSH,Less Than Thirty Days,Other
92,Happy,0,0,Kitten,Black & White / Tuxedo,Female,"Other cats, dogs, children.",,,Short,0.0,Eccentric Kittens,seven_days,Happy Eccentric Kittens,False,True,Short,Black & White / Tuxedo,False,False,0,False,DSH,Less Than Thirty Days,Black & White / Tuxedo
93,Aries,0,0,Kitten,Orange / Red,Male,"Other cats, dogs, children.",,,Short,0.0,Eccentric Kittens,seven_days,Aries Eccentric Kittens,False,True,Short,Orange / Red,False,False,0,False,DSH,Less Than Thirty Days,Orange / Red
94,Carly,0,0,Kitten,Gray & White,Female,Other cats.,,,Short,0.0,Eccentric Kittens,seven_days,Carly Eccentric Kittens,False,True,Short,Gray & White,False,False,0,False,DSH,Less Than Thirty Days,Gray & White
95,Yoshi,3,0,Adult,Tabby (Gray / Blue / Silver),Male,,,"Other cats, dogs, children.",Short,244.0,Anjellicle Cats Rescue,seven_days,Yoshi Anjellicle Cats Rescue,False,False,Short,Tabby (Gray / Blue / Silver),False,False,3,True,DSH,Less Than Thirty Days,Tabby (Gray / Blue / Silver)
96,Avery,5,0,Kitten,Black,Female,,,,Long,129.0,Infinite Hope,seven_days,Avery Infinite Hope,False,False,Long,Black,False,False,5,True,DLH,Less Than Thirty Days,Black
97,Pete,6,0,Kitten,Orange / Red,Male,,,,Short,141.0,Infinite Hope,seven_days,Pete Infinite Hope,False,False,Short,Orange / Red,False,False,6,True,DSH,Less Than Thirty Days,Orange / Red
