,cat_name,num_images,num_videos,age,breed,color,sex,characteristics,good_in_a_home_with,adoption_fee,prefers_a_home_without,coat_length,pet_story_num_words,rescue_group,data_set,cat_id,thirty_days,without_story,pet_narrative,coat_length_miss,color_miss,color_bool,good_in_a_home_with_bool,prefers_a_home_without_bool,characteristics_bool,more_than_1_cat,video,num_pictures,pictures,breed_type,is_dupe,Days_On_Site
38,Sylvie,4,0,Adult,Domestic Short Hair,Tabby (Brown / Chocolate),Female,unknown,unknown,,Children.,Short,263.0,City Critters Inc.,seven_days,Sylvie City Critters Inc.,False,False,True,Short,Tabby (Brown / Chocolate),True,False,True,False,False,False,4,True,DSH,True,Less Than Thirty Days
39,Carrot,6,0,Kitten,Domestic Short Hair,Orange / Red,Male,unknown,"Other cats, children.",,unknown,Short,109.0,City Critters Inc.,seven_days,Carrot City Critters Inc.,False,False,True,Short,Orange / Red,True,True,False,False,False,False,6,True,DSH,True,Less Than Thirty Days
40,Mickey,4,0,Adult,Bombay & Domestic Short Hair Mix,Black,Male,"Friendly, Affectionate, Gentle, Playful, Curious, Quiet, Dignified","Other cats, dogs, children.",,unknown,Short,126.0,Ready For Rescue,seven_days,Mickey Ready For Rescue,False,False,True,Short,Black,True,True,False,True,False,False,4,True,DSH,True,Less Than Thirty Days
41,Lah Lah,5,1,Senior,Domestic Short Hair,Black,Male,"Friendly, Playful, Curious, Brave, Smart, Funny, Affectionate",Other cats.,,unknown,Short,171.0,Ready For Rescue,seven_days,Lah Lah Ready For Rescue,False,False,True,Short,Black,True,True,False,True,False,True,5,True,DSH,True,Less Than Thirty Days
42,Jackie,6,0,Young,Domestic Short Hair,unknown,Female,"Affectionate, Friendly, Gentle, Smart, Playful, Quiet","Other cats, dogs, children.",$300.00,unknown,Medium,165.0,"Good World Animal Rescue and Protection,…",seven_days,"Jackie Good World Animal Rescue and Protection,…",False,False,True,Medium,unknown,False,True,False,True,False,False,6,True,DSH,True,Less Than Thirty Days
43,Dusty and Oliver,6,0,Kitten,Domestic Short Hair,unknown,Female,unknown,unknown,$300.00,unknown,,295.0,Waggytail Rescue,seven_days,Dusty and Oliver Waggytail Rescue,False,False,True,unknown,unknown,False,False,False,False,True,False,6,True,DSH,True,Less Than Thirty Days
44,Mister,2,0,Adult,Domestic Short Hair,Black & White / Tuxedo,Male,unknown,"Other cats, children.",,unknown,,449.0,Brooklyn Bridge Animal Welfare Coalition,seven_days,Mister Brooklyn Bridge Animal Welfare Coalition,False,False,True,unknown,Black & White / Tuxedo,True,True,False,False,False,False,2,True,DSH,True,Less Than Thirty Days
45,Gold Fleck,3,0,Young,Domestic Short Hair,unknown,Female,unknown,Other cats.,,unknown,,150.0,Brooklyn Bridge Animal Welfare Coalition,seven_days,Gold Fleck Brooklyn Bridge Animal Welfare Coalition,False,False,True,unknown,unknown,False,True,False,False,False,False,3,True,DSH,True,Less Than Thirty Days
46,Magic,3,0,Young,Domestic Short Hair,unknown,Male,unknown,"Other cats, dogs, children.",,unknown,,73.0,Brooklyn Bridge Animal Welfare Coalition,seven_days,Magic Brooklyn Bridge Animal Welfare Coalition,False,False,True,unknown,unknown,False,True,False,False,False,False,3,True,DSH,True,Less Than Thirty Days
47,Dr. Dillamond,3,0,Young,Domestic Short Hair,Gray & White,Male,unknown,"Other cats, dogs, children.",,unknown,,68.0,Brooklyn Bridge Animal Welfare Coalition,seven_days,Dr. Dillamond Brooklyn Bridge Animal Welfare Coalition,False,False,True,unknown,Gray & White,True,True,False,False,False,False,3,True,DSH,True,Less Than Thirty Days
48,Sterling,2,0,Adult,Domestic Short Hair,unknown,Male,unknown,unknown,,unknown,,102.0,KittyKind,seven_days,Sterling KittyKind,False,False,True,unknown,unknown,False,False,False,False,False,False,2,True,DSH,True,Less Than Thirty Days
49,Queenie,5,0,Adult,Domestic Long Hair & Calico Mix,Calico,Female,"Friendly, Couch potato, Gentle, Quiet",Other cats.,$150.00,Children.,Long,132.0,Jersey Tails,seven_days,Queenie Jersey Tails,False,False,True,Long,Calico,True,True,True,True,False,False,5,True,DLH,True,Less Than Thirty Days
50,Vern and Billy Bob,4,0,Kitten,Domestic Short Hair & Domestic Long Hair Mix,Tabby (Gray / Blue / Silver),Male,"Friendly, Affectionate, Playful, Curious, Funny","Other cats, children.",,unknown,Medium,161.0,Animal Lighthouse Rescue,seven_days,Vern and Billy Bob Animal Lighthouse Rescue,False,False,True,Medium,Tabby (Gray / Blue / Silver),True,True,False,True,True,False,4,True,DSH,True,Less Than Thirty Days
51,Miss Misstoffelees,6,0,Young,Domestic Short Hair,Black,Female,", Affectionate, Gentle, Playful, Friendly, Curious, Funny, Loves kisses",Other cats.,$150.00,"Dogs, children.",Short,364.0,AdvoCat Rescue,seven_days,Miss Misstoffelees AdvoCat Rescue,False,False,True,Short,Black,True,True,True,True,False,False,6,True,DSH,True,Less Than Thirty Days
52,Fries & Mash - Bonded Brothers,6,0,Kitten,Domestic Short Hair,Black & White / Tuxedo,Male,"Friendly, Affectionate, Playful, Gentle, Curious, Independent, Funny, Loves kisses",Other cats.,$125.00,Children.,Short,229.0,AdvoCat Rescue,seven_days,Fries & Mash - Bonded Brothers AdvoCat Rescue,False,False,True,Short,Black & White / Tuxedo,True,True,True,True,True,False,6,True,DSH,True,Less Than Thirty Days
53,Mash & Fries - Bonded Brothers,6,0,Kitten,Domestic Short Hair,Black & White / Tuxedo,Male,"Playful, Gentle, Curious, Independent, Funny, Loves kisses",Other cats.,$125.00,Children.,Short,229.0,AdvoCat Rescue,seven_days,Mash & Fries - Bonded Brothers AdvoCat Rescue,False,False,True,Short,Black & White / Tuxedo,True,True,True,True,True,False,6,True,DSH,True,Less Than Thirty Days
54,The Jimmy,6,0,Kitten,Domestic Short Hair,Gray & White,Male,unknown,Other cats.,$200.00,unknown,Short,264.0,AdvoCat Rescue,seven_days,The Jimmy AdvoCat Rescue,False,False,True,Short,Gray & White,True,True,False,False,False,False,6,True,DSH,True,Less Than Thirty Days
55,Hermione - Hogwarts Kittens,6,0,Kitten,Domestic Short Hair,Calico,Female,unknown,Other cats.,$200.00,unknown,Short,244.0,AdvoCat Rescue,seven_days,Hermione - Hogwarts Kittens AdvoCat Rescue,False,False,True,Short,Calico,True,True,False,False,False,False,6,True,DSH,True,Less Than Thirty Days
56,Ron - Hogwarts Kittens,6,0,Kitten,Domestic Short Hair,Tabby (Buff / Tan / Fawn),Male,unknown,Other cats.,$200.00,unknown,Short,244.0,AdvoCat Rescue,seven_days,Ron - Hogwarts Kittens AdvoCat Rescue,False,False,True,Short,Tabby (Buff / Tan / Fawn),True,True,False,False,False,False,6,True,DSH,True,Less Than Thirty Days
57,Harry - Hogwarts Kittens,6,0,Kitten,Domestic Short Hair,Buff / Tan / Fawn,Male,unknown,Other cats.,$200.00,unknown,Short,244.0,AdvoCat Rescue,seven_days,Harry - Hogwarts Kittens AdvoCat Rescue,False,False,True,Short,Buff / Tan / Fawn,True,True,False,False,False,False,6,True,DSH,True,Less Than Thirty Days
58,Ivory Iris,0,0,Kitten,Domestic Short Hair,Tabby (Gray / Blue / Silver),Female,unknown,unknown,,unknown,Short,49.0,Liberty Humane Society,seven_days,Ivory Iris Liberty Humane Society,False,False,True,Short,Tabby (Gray / Blue / Silver),True,False,False,False,False,False,0,False,DSH,True,Less Than Thirty Days
59,Ida Iris,0,0,Kitten,Domestic Short Hair,Tabby (Gray / Blue / Silver),Female,unknown,unknown,,unknown,Short,49.0,Liberty Humane Society,seven_days,Ida Iris Liberty Humane Society,False,False,True,Short,Tabby (Gray / Blue / Silver),True,False,False,False,False,False,0,False,DSH,True,Less Than Thirty Days
60,Ianna Iris,0,0,Kitten,Domestic Short Hair,Tabby (Gray / Blue / Silver),Female,unknown,unknown,,unknown,Short,49.0,Liberty Humane Society,seven_days,Ianna Iris Liberty Humane Society,False,False,True,Short,Tabby (Gray / Blue / Silver),True,False,False,False,False,False,0,False,DSH,False,Less Than Thirty Days
61,Ivan Iris,0,0,Kitten,Domestic Short Hair,Tabby (Gray / Blue / Silver),Male,unknown,unknown,,unknown,Short,49.0,Liberty Humane Society,seven_days,Ivan Iris Liberty Humane Society,False,False,True,Short,Tabby (Gray / Blue / Silver),True,False,False,False,False,False,0,False,DSH,True,Less Than Thirty Days
62,Picasso Petunia,0,0,Kitten,Domestic Short Hair,Tabby (Orange / Red),Female,unknown,unknown,,unknown,Short,49.0,Liberty Humane Society,seven_days,Picasso Petunia Liberty Humane Society,False,False,True,Short,Tabby (Orange / Red),True,False,False,False,False,False,0,False,DSH,True,Less Than Thirty Days
63,Pepsi Petunia,0,0,Kitten,Domestic Short Hair,Tabby (Gray / Blue / Silver),Male,unknown,unknown,,unknown,Short,49.0,Liberty Humane Society,seven_days,Pepsi Petunia Liberty Humane Society,False,False,True,Short,Tabby (Gray / Blue / Silver),True,False,False,False,False,False,0,False,DSH,True,Less Than Thirty Days
64,Patch Petunia,0,0,Kitten,Domestic Short Hair,Tabby (Brown / Chocolate),Female,unknown,unknown,,unknown,Short,49.0,Liberty Humane Society,seven_days,Patch Petunia Liberty Humane Society,False,False,True,Short,Tabby (Brown / Chocolate),True,False,False,False,False,False,0,False,DSH,False,Less Than Thirty Days
65,Jackson Eo,3,1,Adult,Domestic Short Hair Mix,Tabby (Gray / Blue / Silver),Male,"Friendly, Affectionate, Loyal, Smart, Independent, Curious, Loves kisses, Gentle",unknown,,unknown,Short,49.0,Liberty Humane Society,seven_days,Jackson Eo Liberty Humane Society,False,False,True,Short,Tabby (Gray / Blue / Silver),True,False,False,True,False,True,3,True,DSH,True,Less Than Thirty Days
66,Kandice Kalmia Eo,0,0,Kitten,Domestic Short Hair Mix,White,Female,"Friendly, Affectionate",unknown,,unknown,Short,87.0,Liberty Humane Society,seven_days,Kandice Kalmia Eo Liberty Humane Society,False,False,True,Short,White,True,False,False,True,False,False,0,False,DSH,True,Less Than Thirty Days
67,Nora Nolana,0,0,Kitten,Domestic Short Hair,Tortoiseshell,Female,"Friendly, Affectionate, Curious, Loves kisses",unknown,,unknown,Short,49.0,Liberty Humane Society,seven_days,Nora Nolana Liberty Humane Society,False,False,True,Short,Tortoiseshell,True,False,False,True,False,False,0,False,DSH,True,Less Than Thirty Days
68,Octavia,3,1,Kitten,American Shorthair Mix,Calico,Female,"Friendly, Playful, Gentle, Curious",unknown,,unknown,Short,162.0,Whiskers-aGoGo Inc,seven_days,Octavia Whiskers-aGoGo Inc,False,False,True,Short,Calico,True,False,False,True,False,True,3,True,DSH,True,Less Than Thirty Days
69,Sheikh,4,0,Young,Bengal Mix,Tabby (Leopard / Spotted),Male,"Friendly, Affectionate, Playful, Athletic",Other cats.,,unknown,Short,198.0,Whiskers-aGoGo Inc,seven_days,Sheikh Whiskers-aGoGo Inc,False,False,True,Short,Tabby (Leopard / Spotted),True,True,False,True,False,False,4,True,DSH,True,Less Than Thirty Days
